cust_code,seq_num,address_1,city,state,zip,reason
"COMM1000",16,"2910 Job","Adel","IA","50003","junk_keyword"
"B2CO1000",7,"13017 (Will Call)","Altoona","IA","50111","junk_keyword"
"MW3C1000",30,"6321 Hubbell Job","Altoona","IA","50009","junk_keyword"
"BAGN1000",126,"3472 Glenwood Job","Ankeny","IA","50023","junk_keyword"
"REST1000",15,"6483 Job#","Clive","IA","50325","junk_keyword"
"BBTR1000",69,"3720 Hallway Job","Des Moines","IA","50320","junk_keyword"
"BURN1000",19,"2414909 Job #","Des Moines","IA","50111","junk_keyword"
"CASH1000",5075,"605 Job","Des Moines","IA","50315","junk_keyword"
"MPSE1000",11,"2013 Patching Job","Des Moines","IA","50314","junk_keyword"
"RYAN1100",64,"1459 Grand Avenue Job# 3719","Des Moines","IA","50309","junk_keyword"
"CSFD2019",91,"2019 General Purchases","Fort Dodge","IA","50501","junk_keyword"
"JENS1000",1231,"1175 South 32nd -  Job 22-165","Fort Dodge","IA","50501","junk_keyword"
"RUSS1000",48,"170 (Walker Roof Job)","Fort Dodge","IA","50501","junk_keyword"
"JENS1000",1245,"1005 Riddle Street Job# 23-006","Gowrie","IA","50543","junk_keyword"
"CONC1000",24,"15007 Job#","Grimes","IA","50111","junk_keyword"
"CONC1000",39,"15055 Job","Grimes","IA","50111","junk_keyword"
"CONC1000",59,"17009 Job","Grimes","IA","50111","junk_keyword"
"CRAM1000",20,"21910 Job ","Grimes","IA","50111","junk_keyword"
"CRAM1000",9,"21435 Job #","Grimes","IA","50111","junk_keyword"
"CSGR2017",237,"2017 HBA Show","Grimes","IA","50111","junk_keyword"
"CSGR2020",2180,"1816 Job","Grimes","IA","50111","junk_keyword"
"CSGR2020",964,"15143 Job #","Grimes","IA","50111","junk_keyword"
"DORM1000",14,"2358 Job#","Grimes","IA","50111","junk_keyword"
"DORM1000",6,"0921 Job #","Grimes","IA","50111","junk_keyword"
"MIDW1000",1004,"2018 - Home Show","Grimes","IA","50111","junk_keyword"
"PREF1000",180,"107 Altoona JOb","Grimes","IA","50111","junk_keyword"
"WILD1100",6,"4409 100 1st Street- Job","Grimes","IA","50111","junk_keyword"
"COMM1100",2,"701 North C Avenue FSC Job","Indianola","IA","50125","junk_keyword"
"STER1000",35,"1008 Job","Indianola","IA","50125","junk_keyword"
"CITY1000",51,"200 Hawkins Drive Job#1-060","Iowa City","IA","52240","junk_keyword"
"CSBW1000",187,"5025 147th - Will Call","Johnston","IA","50131","junk_keyword"
"CSFD2019",111,"2019 - General Purchases","Moorland","IA","50566","junk_keyword"
"LEDG1000",16,"5203 - Will Call","Polk City","IA","50226","junk_keyword"
"WRHI1000",62,"111 Brown Street Job#1191","Tiffin","IA","52340","junk_keyword"
"WRHI1000",61,"111 Brown Street Job#1191","Tiffin","IA","52340","junk_keyword"
"CONC1000",8,"13039 Job#","Urbandale","IA","50323","junk_keyword"
"CONC1000",10,"13041 Job #","Urbandale","IA","50322","junk_keyword"
"ALLI1000",154,"1853 Job#","Waukee","IA","50263","junk_keyword"
"4SYT1000",7,"1507 Vine DC Will Call","West Des Moines","IA","50265","junk_keyword"
"QUOT2015",63,"45x39 Garage","","IA","50111","no_leading_number"
"QUOT2015",62,"26x28 Garage","","IA","50111","no_leading_number"
"QUOT2015",12,"Burger King 6049","","IA","50111","no_leading_number"
"QUOT2015",14,"Burger King 5722","","IA","50111","no_leading_number"
"QUOT2015",23,"Dart Plan 2-Story","","IA","50111","no_leading_number"
"AGRI1000",2,"PO Box 458","Adair","IA","50002","no_leading_number"
"CALI1000",18,"22-027","Adair","IA","50002","no_leading_number"
"CRAM1000",14,"PO 71717","Adair","IA","50002","no_leading_number"
"DESI1100",166,"PO Box 272","Adair","IA","50002","no_leading_number"
"CAST1200",180,"South 9th Street/Bryan Street","Adel","IA","50003","no_leading_number"
"CAST1200",191,"Corner of 15th Street & Locust","Adel","IA","50003","no_leading_number"
"COMM1500",11,"Adel C157 Evan","Adel","IA","50003","no_leading_number"
"DENN1000",74,"WP1402","Adel","IA","50003","no_leading_number"
"DENN1000",47,"TWP 500","Adel","IA","50003","no_leading_number"
"DENN1000",45,"WP #1203","Adel","IA","50003","no_leading_number"
"DENN1000",34,"851","Adel","IA","50003","no_leading_number"
"DENN1000",54,"1401","Adel","IA","50003","no_leading_number"
"DENN1000",33,"WP1016","Adel","IA","50003","no_leading_number"
"DENN1000",90,"130","Adel","IA","50003","no_leading_number"
"DENN1000",42,"WP305","Adel","IA","50003","no_leading_number"
"DENN1000",77,"#1010","Adel","IA","50003","no_leading_number"
"EXEC1700",146,"119th 2nd Avenue","Adel","IA","50003","no_leading_number"
"FOUR1000",54,"Fox Creek 16x12 Deck","Adel","IA","50003","no_leading_number"
"HILS1000",84,"Adel Retail Store #2","Adel","IA","50003","no_leading_number"
"JENS1000",1253,"Iowa Dot-22-152","Adel","IA","50003","no_leading_number"
"KOES1000",413,"Locust & North 15th","Adel","IA","50003","no_leading_number"
"McAN1000",33,"169/South Bridge Road","Adel","IA","50003","no_leading_number"
"ROYA1300",18,"Pro Finish 28915 R Avenue","Adel","IA","50003","no_leading_number"
"TEAL1000",64,"Lot 14 Kenyon Ridge","Adel","IA","50003","no_leading_number"
"HOGS1000",82,"Rea Road & County Rd H 17","Afton","IA","50830","no_leading_number"
