family,description,size_key,hc_sku,sc_sku
Madison,1-Panel Madison (Mercer),slab.16,slmercerhc1668,slmercerhc1668
Madison,1-Panel Madison (Mercer),slab.20,slmercerhc2068,slmercerhc2068
Madison,1-Panel Madison (Mercer),slab.24,slmercerhc2468,slmercerhc2468
Madison,1-Panel Madison (Mercer),slab.26,slmercerhc2668,slmercerhc2668
Madison,1-Panel Madison (Mercer),slab.28,slmercerhc2868,slmercerhc2868
Madison,1-Panel Madison (Mercer),slab.30,slmercerhc3068,slmercerhc3068
Madison,1-Panel Madison (Mercer),bi.40,bfmercer2067,bfmercer2067
Madison,1-Panel Madison (Mercer),bi.50,bfmercer2667,bfmercer2667
Madison,1-Panel Madison (Mercer),bi.30,bfmercer3067,bfmercer3067
Madison,1-Panel Madison (Mercer),sh.16,ZZGR0000144484,ZZGR0000144503
Madison,1-Panel Madison (Mercer),sh.20,ZZGR0000144485,ZZGR0000144504
Madison,1-Panel Madison (Mercer),sh.24,ZZGR0000144486,ZZGR0000144505
Madison,1-Panel Madison (Mercer),sh.26,ZZGR0000144487,ZZGR0000144506
Madison,1-Panel Madison (Mercer),sh.28,ZZGR0000144488,ZZGR0000144507
Madison,1-Panel Madison (Mercer),sh.30,ZZGR0000144489,ZZGR0000144508
Madison,1-Panel Madison (Mercer),dh.30,ZZGR0000144493,ZZGR0000144509
Madison,1-Panel Madison (Mercer),dh.40,ZZGR0000144494,ZZGR0000144510
Madison,1-Panel Madison (Mercer),dh.50,ZZGR0000144495,ZZGR0000144511
Madison,1-Panel Madison (Mercer),dh.60,ZZGR0000144496,ZZGR0000144512
Cambridge,2-Panel Cambridge (King),slab.16,slkinghc1668,slkinghc1668
Cambridge,2-Panel Cambridge (King),slab.20,slkinghc2068,slkinghc2068
Cambridge,2-Panel Cambridge (King),slab.24,slkinghc2468,slkinghc2468
Cambridge,2-Panel Cambridge (King),slab.26,slkinghc2668,slkinghc2668
Cambridge,2-Panel Cambridge (King),slab.28,slkinghc2868,slkinghc2868
Cambridge,2-Panel Cambridge (King),slab.30,slkinghc3068,slkinghc3068
Cambridge,2-Panel Cambridge (King),bi.40,bfking2067,bfking2067
Cambridge,2-Panel Cambridge (King),bi.50,bfking2667,bfking2667
Cambridge,2-Panel Cambridge (King),bi.30,bfking3067,bfking3067
Cambridge,2-Panel Cambridge (King),sh.16,ZZGR0000144552,ZZGR0000144571
Cambridge,2-Panel Cambridge (King),sh.20,ZZGR0000144553,ZZGR0000144572
Cambridge,2-Panel Cambridge (King),sh.24,ZZGR0000144554,ZZGR0000144573
Cambridge,2-Panel Cambridge (King),sh.26,ZZGR0000144555,ZZGR0000144574
Cambridge,2-Panel Cambridge (King),sh.28,ZZGR0000144556,ZZGR0000144575
Cambridge,2-Panel Cambridge (King),sh.30,ZZGR0000144557,ZZGR0000144576
Cambridge,2-Panel Cambridge (King),dh.30,ZZGR0000144561,ZZGR0000144577
Cambridge,2-Panel Cambridge (King),dh.40,ZZGR0000144562,ZZGR0000144578
Cambridge,2-Panel Cambridge (King),dh.50,ZZGR0000144563,ZZGR0000144579
Cambridge,2-Panel Cambridge (King),dh.60,ZZGR0000144564,ZZGR0000144580
Continental,2-Panel Continental (Rosario),slab.16,slroshc1668,slroshc1668
Continental,2-Panel Continental (Rosario),slab.20,slroshc2068,slroshc2068
Continental,2-Panel Continental (Rosario),slab.24,slroshc2468,slroshc2468
Continental,2-Panel Continental (Rosario),slab.26,slroshc2668,slroshc2668
Continental,2-Panel Continental (Rosario),slab.28,slroshc2868,slroshc2868
Continental,2-Panel Continental (Rosario),slab.30,slroshc3068,slroshc3068
Continental,2-Panel Continental (Rosario),bi.40,bfros2067,bfros2067
Continental,2-Panel Continental (Rosario),bi.50,bfros2667,bfros2667
Continental,2-Panel Continental (Rosario),bi.30,bfros3067,bfros3067
Continental,2-Panel Continental (Rosario),sh.16,ZZGR0000144622,ZZGR0000144641
Continental,2-Panel Continental (Rosario),sh.20,ZZGR0000144623,ZZGR0000144642
Continental,2-Panel Continental (Rosario),sh.24,ZZGR0000144624,ZZGR0000144643
Continental,2-Panel Continental (Rosario),sh.26,ZZGR0000144625,ZZGR0000144644
Continental,2-Panel Continental (Rosario),sh.28,ZZGR0000144626,ZZGR0000144645
Continental,2-Panel Continental (Rosario),sh.30,ZZGR0000144627,ZZGR0000144646
Continental,2-Panel Continental (Rosario),dh.30,ZZGR0000144631,ZZGR0000144647
Continental,2-Panel Continental (Rosario),dh.40,ZZGR0000144632,ZZGR0000144648
Continental,2-Panel Continental (Rosario),dh.50,ZZGR0000144633,ZZGR0000144649
Continental,2-Panel Continental (Rosario),dh.60,ZZGR0000144634,ZZGR0000144650
Craftsman,3-Panel Craftsman (Yarrow),slab.16,slyarrowhc1668,slyarrowhc1668
Craftsman,3-Panel Craftsman (Yarrow),slab.20,slyarrowhc2068,slyarrowhc2068
Craftsman,3-Panel Craftsman (Yarrow),slab.24,slyarrowhc2468,slyarrowhc2468
Craftsman,3-Panel Craftsman (Yarrow),slab.26,slyarrowhc2668,slyarrowhc2668
Craftsman,3-Panel Craftsman (Yarrow),slab.28,slyarrowhc2868,slyarrowhc2868
Craftsman,3-Panel Craftsman (Yarrow),slab.30,slyarrowhc3068,slyarrowhc3068
Craftsman,3-Panel Craftsman (Yarrow),bi.40,bfyarrow2067,bfyarrow2067
Craftsman,3-Panel Craftsman (Yarrow),bi.50,bfyarrow2667,bfyarrow2667
Craftsman,3-Panel Craftsman (Yarrow),bi.30,bfyarrow3067,bfyarrow3067
Craftsman,3-Panel Craftsman (Yarrow),sh.16,ZZGR0000144692,ZZGR0000144711
Craftsman,3-Panel Craftsman (Yarrow),sh.20,ZZGR0000144693,ZZGR0000144712
Craftsman,3-Panel Craftsman (Yarrow),sh.24,ZZGR0000144694,ZZGR0000144713
Craftsman,3-Panel Craftsman (Yarrow),sh.26,ZZGR0000144695,ZZGR0000144714
Craftsman,3-Panel Craftsman (Yarrow),sh.28,ZZGR0000144696,ZZGR0000144715
Craftsman,3-Panel Craftsman (Yarrow),sh.30,ZZGR0000144697,ZZGR0000144716
