item,description,Treated,Treated_w_DekPro,Cedar,Cedar_w_DekPro,Westbury_Black,Westbury_White
1,"37"" Post",2x4x8,2x4x8,2x4x10,2x4x10,deckw2237txblkit,deckw2237glwhkit
2,"47"" Post",2x4x10,2x4x10,2x4x12,2x4x12,deckw2247txblkit,deckw2247glwhkit
3,Wall Mount Bracket,2x4x12,2x4x12,2x4x14,2x4x14,deckwesthswallmn,deckwesthswallgw
4,Stair Crossover Post,2x4x14,2x4x14,2x4x16,2x4x16,deckstxpkittxblk,deckstxpkitglswh
5,C10 5ft Level Rail,2x4x16,2x4x16,2x6x10,2x6x10,decktuscc105tblk,decktuscc105glwh
6,C10 6ft Stair Rail,2x6x8 (#1),2x6x8 (#1),2x6x12,2x6x12,decktuscc106sblk,decktuscc106sgwh
7,C10 6ft Level Rail,2x6x10,2x6x10,2x6x14,2x6x14,decktuscc106tblk,decktuscc106glwh
8,C10 7ft Level Rail,2x6x12 (#1),2x6x12 (#1),2x6x16,2x6x16,decktuscc107tblk,decktuscc107glwh
9,C10 8ft Stair Rail,2x6x14,2x6x14,2x2 Baluster,DekPro Flat Bk,decktuscc108sblk,decktuscc108glwh
10,C10 8ft Level Rail,2x6x16 (#1),2x6x16 (#1),4x4x8,4x4x8,decktuscc108tblk,decktuscc108sgwh
11,ScreenRail LF (No Rail),2x2 Baluster,DekPro Flat Bk,,2x6x12 Grippable,,
12,ScreenRail LF (With Rail),4x4x8,4x4x8,2x6x12 Grippable,,,
13,MISSING - needs assignment,,,,,,
14,MISSING - needs assignment,,,,,,
15,MISSING - needs assignment,,,,,,
